title,price,link,seller,image,brand
Xiaomi Redmi Note 11S Dual SIM 128 GB azul ocaso 8 GB RAM,959900,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=Yz7%2F9sdy9Dl68ByQougJKhpaPkJtz2ZI5sUr5NdQ4bJJyYSIJ3ZnTOJw%2FJAAk4KGdmVA2h%2BGXoCs4jehw%2B1KztYUr7IOMD4oKdyvfgSkcb9eGCw3zYyUXbRWW5zIYBqmdqgIrhbrkp7UZMVyridzMClTyXkMzjQX1j6PK5stkK7CngUvhIHQ5c%2BlUWlWv%2FOeppOJ64F9pjEMNa%2BdrBsXTAxMskR3VVgzs0dOCzny6YnHGQF%2FG1vl6lg%2FdNGz7ZsYgw%2BScJAIChrBk7T875NmsOQoGCW0O24hgcD5oHdcjOD8dVI0qGyCxBjShfpXKnXbd8BYYMOfZbMNO99prWioFyfbgj0sJELtR1WtnVljMFHn6cGM%2F%2FgcY92xp6HnITMWMfv%2FcVtC6NBO0bzf1LvykoYDLGf%2F8Lxy5fK1VympNP%2FwtyzC7iT6zlFzj0gbddjfkWtixXiZeeXBqiriAf%2BZ1Fu%2BomTmTYY53O9dlPcYOVOep4GcOdUnKbbE9WzBHotAlZUFPyX0xH8gdbynTlXORsYydm0SnhOdP4%2Bw5vYaz5FL9E%2F4ygVyLVhLak6%2FrsMTiPl29KFHRoXwh6U6R9jzn1M43FT8Ymsva0eBC4ZEVo6L7yWZr8aVnC55ueXOK0iuC6y2wLXbalS232U81tWtUI8lPbekZtkCJcbiGnOf8YSKKiBIoAtutkOO5xQBAFHBTlSGwlmuZZFQOTzEoDmVOC6bKx3hNPyEvMVRT7N67HBtAu9QijUs9po6I8%2FBxaxxlI%2Bet%2BsKQsCX99DVAHNWQBPvFqeFNboviowTKqP7uml2dphjJ7xnuA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Frolling-layout%2B20432%2Cmclics%2Fshow-pads-global%2B5176%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fpads-score-mla%2B17263&rb=x,Mercado Libre,,Xiaomi
Xiaomi Redmi Note 11S Dual SIM 128 GB azul ocaso 8 GB RAM,959900,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=Yz7%2F9sdy9Dl68ByQougJKhpaPkJtz2ZI5sUr5NdQ4bJJyYSIJ3ZnTOJw%2FJAAk4KGdmVA2h%2BGXoCs4jehw%2B1KztYUr7IOMD4oKdyvfgSkcb9eGCw3zYyUXbRWW5zIYBqmdqgIrhbrkp7UZMVyridzMClTyXkMzjQX1j6PK5stkK7CngUvhIHQ5c%2BlUWlWv%2FOeppOJ64F9pjEMNa%2BdrBsXTAxMskR3VVgzs0dOCzny6YnHGQF%2FG1vl6lg%2FdNGz7ZsYgw%2BScJAIChrBk7T875NmsOQoGCW0O24hgcD5oHdcjOD8dVI0qGyCxBjShfpXKnXbd8BYYMOfZbMNO99prWioFyfbgj0sJELtR1WtnVljMFHn6cGM%2F%2FgcY92xp6HnITMWMfv%2FcVtC6NBO0bzf1LvykoYDLGf%2F8Lxy5fK1VympNP%2FwtyzC7iT6zlFzj0gbddjfkWtixXiZeeXBqiriAf%2BZ1Fu%2BomTmTYY53O9dlPcYOVOep4GcOdUnKbbE9WzBHotAlZUFPyX0xH8gdbynTlXORsYydm0SnhOdP4%2Bw5vYaz5FL9E%2F4ygVyLVhLak6%2FrsMTiPl29KFHRoXwh6U6R9jzn1M43FT8Ymsva0eBC4ZEVo6L7yWZr8aVnC55ueXOK0iuC6y2wLXbalS232U81tWtUI8lPbekZtkCJcbiGnOf8YSKKiBIoAtutkOO5xQBAFHBTlSGwlmuZZFQOTzEoDmVOC6bKx3hNPyEvMVRT7N67HBtAu9QijUs9po6I8%2FBxaxxlI%2Bet%2BsKQsCX99DVAHNWQBPvFqeFNboviowTKqP7uml2dphjJ7xnuA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Frolling-layout%2B20432%2Cmclics%2Fshow-pads-global%2B5176%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fpads-score-mla%2B17263&rb=x,Mercado Libre,,Xiaomi
Consola Play 5 Digital Nueva Sellada Envio Gratis,2799900,https://articulo.mercadolibre.com.co/MCO-625213810-consola-play-5-digital-nueva-sellada-envio-gratis-_JM#position=33&search_layout=stack&type=item&tracking_id=5c2fd653-a500-488b-9d94-c6db0f7f3859,Mercado Libre,https://http2.mlstatic.com/D_NQ_NP_918895-MCO46664319718_072021-V.webp,Otra
Consola Play 5 Digital Nueva Sellada Envio Gratis,2799900,https://articulo.mercadolibre.com.co/MCO-625213810-consola-play-5-digital-nueva-sellada-envio-gratis-_JM#position=33&search_layout=stack&type=item&tracking_id=5c2fd653-a500-488b-9d94-c6db0f7f3859,Mercado Libre,https://http2.mlstatic.com/D_NQ_NP_918895-MCO46664319718_072021-V.webp,Otra
Play 5 Digital Nueva Sellada Envio Gratis,2799900,https://articulo.mercadolibre.com.co/MCO-625213810-consola-play-5-digital-nueva-sellada-envio-gratis-_JM#position=33&search_layout=stack&type=item&tracking_id=5c2fd653-a500-488b-9d94-c6db0f7f3859,Mercado Libre,https://http2.mlstatic.com/D_NQ_NP_918895-MCO46664319718_072021-V.webp,Otra
